ID,smiles,solvent_smiles,ratio,value,temp
127,CC1=CC([*])=CC(C)=C1O[*],CO,0.101995468,-6.876446923,303
128,[*]CC[*],CBr,0.00689448,-6.70998836,303
129,[*]CC[*],CBr,0.012954896,-6.641358892,303
130,[*]CC([*])C1=CC=CC=N1,CO,0.360544405,-6.423617842,298
131,[*]CC([*])C1=CC=CC=N1,CO,0.41727533,-6.594418912,298
132,[*]CC([*])C1=CC=CC=N1,CO,0.592226217,-6.302347347,298
133,[*]CC([*])C1=CC=CC=N1,CO,0.61957961,-6.889318608,298
134,[*]CC([*])(C)C,CCCCC,0.038694585,-8.185483582,298
135,[*]CC([*])(C)C,CCCCC,0.066428752,-7.125272449,298
136,[*]CC([*])(C)C,CCCCC,0.099266607,-7.34017286,298
137,[*]CC([*])(C)C,CCC(C)C,0.047005167,-8.553148964,298
138,[*]CC([*])(C)C,CCC(C)C,0.049285149,-7.766610637,298
139,[*]CC([*])(C)C,CCC(C)C,0.068357123,-8.615015385,298
140,[*]CC([*])(C)C(=O)OC,CC(=O)OC,0.136935072,-7.22430069,303
141,CC(C)(C1=CC=C([*])C=C1)C1=CC=C(OC(=O)O[*])C=C1,CC#N,0.094397065,-7.338851209,313
142,CC(C)(C1=CC=C([*])C=C1)C1=CC=C(OC(=O)O[*])C=C1,CC#N,0.128913873,-6.934893715,313
143,CC(C)(C1=CC=C([*])C=C1)C1=CC=C(OC(=O)O[*])C=C1,CC#N,0.166168738,-6.977197117,313
144,CC(C)(C1=CC=C([*])C=C1)C1=CC=C(OC(=O)O[*])C=C1,CC#N,0.173091062,-6.931258615,313
145,CC(C)(C1=CC=C([*])C=C1)C1=CC=C(OC(=O)O[*])C=C1,CC#N,0.21612977,-6.640046694,313
