ID,smiles,value,gas
243,[*]c1cc(Cl)c(OC(=O)Oc2c(Cl)cc(C([*])(C)C)cc2Cl)c(Cl)c1,0.867700624,N2
244,[*]c1cc(Cl)c(OC(=O)Oc2c(Cl)cc(C([*])(C)C)cc2Cl)c(Cl)c1,1.550204948,O2
245,[*]c1ccc(OC(=O)Oc2ccc(C([*])(C)C)cc2)cc1,2.350943452,CH4
246,[*]c1ccc(OC(=O)Oc2ccc(C([*])(C)C)cc2)cc1,10.92104973,CO2
247,[*]c1ccc(OC(=O)Oc2ccc(C([*])(C)C)cc2)cc1,0.35566385,N2
248,[*]c1ccc(OC(=O)Oc2ccc(C([*])(C)C)cc2)cc1,0.674606413,O2
249,[*]Oc1ccc(C(Cl)(Cl)c2ccc(OC([*])=O)cc2)cc1,1.89344893,CH4
250,[*]Oc1ccc(C(Cl)(Cl)c2ccc(OC([*])=O)cc2)cc1,10.59761935,CO2
251,[*]Oc1ccc(C(Cl)(Cl)c2ccc(OC([*])=O)cc2)cc1,0.300304939,N2
252,[*]Oc1ccc(C(Cl)(Cl)c2ccc(OC([*])=O)cc2)cc1,0.610739154,O2
253,[*]Oc1ccc(C(c2ccc(OC([*])=O)cc2)(C(F)(F)F)C(F)(F)F)cc1,4.479848745,CH4
254,[*]Oc1ccc(C(c2ccc(OC([*])=O)cc2)(C(F)(F)F)C(F)(F)F)cc1,20.93795954,CO2
255,[*]Oc1ccc(C(c2ccc(OC([*])=O)cc2)(C(F)(F)F)C(F)(F)F)cc1,0.713951119,N2
256,[*]Oc1ccc(C(c2ccc(OC([*])=O)cc2)(C(F)(F)F)C(F)(F)F)cc1,1.237917858,O2
257,[*]c1ccc(OC(=O)Oc2ccc(C([*])(C)c3ccccc3)cc2)cc1,15.22871633,CH4
258,[*]c1ccc(OC(=O)Oc2ccc(C([*])(C)c3ccccc3)cc2)cc1,132.9864937,CO2
259,[*]c1ccc(OC(=O)Oc2ccc(C([*])(C)c3ccccc3)cc2)cc1,2.224423081,N2
260,[*]c1ccc(OC(=O)Oc2ccc(C([*])(C)c3ccccc3)cc2)cc1,3.443564658,O2
261,[*]c1ccc(OC(=O)Oc2ccc(C3([*])CC(C)CC(C)(C)C3)cc2)cc1,4.311640227,CH4
262,[*]c1ccc(OC(=O)Oc2ccc(C3([*])CC(C)CC(C)(C)C3)cc2)cc1,16.61631872,CO2
263,[*]c1ccc(OC(=O)Oc2ccc(C3([*])CC(C)CC(C)(C)C3)cc2)cc1,0.652894868,N2
264,[*]c1ccc(OC(=O)Oc2ccc(C3([*])CC(C)CC(C)(C)C3)cc2)cc1,1.120849153,O2
265,[*]Oc1ccc(C2(c3ccc(OC([*])=O)cc3)CCCCC2)cc1,3.208120767,CH4
266,[*]Oc1ccc(C2(c3ccc(OC([*])=O)cc3)CCCCC2)cc1,15.63628281,CO2
267,[*]Oc1ccc(C2(c3ccc(OC([*])=O)cc3)CCCCC2)cc1,0.469756925,N2
